#,Company,Symbol,Portfolio%
1,Microsoft Corp,MSFT,7.11%
2,Apple Inc.,AAPL,5.69%
3,Nvidia Corp,NVDA,4.78%
4,Amazon.com Inc,AMZN,3.85%
5,"Meta Platforms, Inc. Class A",META,2.56%
6,Alphabet Inc. Class A,GOOGL,2.19%
7,Alphabet Inc. Class C,GOOG,1.85%
8,Berkshire Hathaway Class B,BRK.B,1.75%
9,Eli Lilly & Co.,LLY,1.40%
10,Jpmorgan Chase & Co.,JPM,1.30%
11,Broadcom Inc.,AVGO,1.29%
12,Exxon Mobil Corporation,XOM,1.13%
13,Unitedhealth Group Incorporated,UNH,1.06%
14,Visa Inc.,V,1.02%
15,"Tesla, Inc.",TSLA,0.94%
16,Mastercard Incorporated,MA,0.90%
17,Procter & Gamble Company,PG,0.89%
18,Johnson & Johnson,JNJ,0.85%
19,"Home Depot, Inc.",HD,0.79%
20,"Merck & Co., Inc.",MRK,0.75%
21,Costco Wholesale Corp,COST,0.75%
22,Abbvie Inc.,ABBV,0.70%
23,Chevron Corporation,CVX,0.66%
24,"Salesforce, Inc.",CRM,0.63%
25,Bank of America Corporation,BAC,0.62%
26,Walmart Inc.,WMT,0.59%
27,Netflix Inc,NFLX,0.59%
28,Advanced Micro Devices,AMD,0.58%
29,Coca-Cola Company,KO,0.55%
30,"Pepsico, Inc.",PEP,0.55%
31,"Thermo Fisher Scientific, Inc.",TMO,0.52%
32,Wells Fargo & Co.,WFC,0.52%
33,Linde Plc,LIN,0.51%
34,Adobe Inc.,ADBE,0.50%
35,The Walt Disney Company,DIS,0.49%
36,Mcdonald's Corporation,MCD,0.47%
37,Accenture Plc,ACN,0.47%
38,"Cisco Systems, Inc.",CSCO,0.46%
39,Abbott Laboratories,ABT,0.44%
40,Caterpillar Inc.,CAT,0.43%
41,Oracle Corp,ORCL,0.43%
42,Qualcomm Inc,QCOM,0.42%
43,General Electric Company,GE,0.42%
44,Intuit Inc,INTU,0.42%
45,Verizon Communications,VZ,0.39%
46,International Business Machines Corporation,IBM,0.39%
47,Danaher Corporation,DHR,0.39%
48,Applied Materials Inc,AMAT,0.38%
49,Comcast Corp,CMCSA,0.38%
50,Conocophillips,COP,0.36%
51,"Servicenow, Inc.",NOW,0.36%
52,Philip Morris International Inc.,PM,0.36%
53,Texas Instruments Incorporated,TXN,0.35%
54,Pfizer Inc.,PFE,0.35%
55,Amgen Inc,AMGN,0.34%
56,"Uber Technologies, Inc.",UBER,0.34%
57,Intel Corp,INTC,0.34%
58,Union Pacific Corp.,UNP,0.34%
59,Goldman Sachs Group Inc.,GS,0.32%
60,American Express Company,AXP,0.32%
61,"Nextra Energy, Inc.",NEE,0.32%
62,Lowe's Companies Inc.,LOW,0.32%
63,Rtx Corporation,RTX,0.32%
64,S&p Global Inc.,SPGI,0.31%
65,Intuitive Surgical Inc.,ISRG,0.31%
66,"Honeywell International, Inc.",HON,0.30%
67,Progressive Corporation,PGR,0.29%
68,"Elevance Health, Inc.",ELV,0.29%
69,"Eaton Corporation, Plcs",ETN,0.29%
70,"Micron Technology, Inc.",MU,0.29%
71,Booking Holdings Inc.,BKNG,0.29%
72,Citigroup Inc.,C,0.28%
73,At&t Inc.,T,0.28%
74,Morgan Stanley,MS,0.28%
75,Lam Research Corp,LRCX,0.27%
76,"Nike, Inc.",NKE,0.27%
77,Stryker Corporation,SYK,0.27%
